label,source,true,pred,text_preview
0,Summary,Human,AI-Generated,"Президент Қасым-Жомарт Тоқаев халыққа Жолдауында жариялаған барлық бастамалардың бағыты айқын. Ең маңыздысы, ""Әр азаматтың тәуелсіздік игілігін сезіне алуы, оның басты көрінісі елдегі бейбіт өмір, қоғ"
0,Summary,Human,AI-Generated,"АЭС тек энергетикалық сұранысты қанағаттандырып қоймай, экономикаға жан бітіріп, әлеуметтік мәселелерді оңтайлы шешуге себеп болатыны анық. Энергетика министрлігінің болжамы бойынша 2035 жылға қарай Қ"
1,Summary,AI-Generated,Human,"Мемлекет басшысы Қасым-Жомарт Тоқаев Алматы облысының әкімі Марат Сұлтанғазиевті қабылдап, өңірдің қаңтар-мамыр айларындағы әлеуметтік-экономикалық даму көрсеткіштерімен танысты. Облыс жалпы өңірлік ө"
1,Summary,AI-Generated,Human,"ҚР премьер-министрінің орынбасары Қанат Бозымбаев еліміздегі су тасқыны жағдайы туралы баяндады. Атырау облысының Жылыой ауданында ТЖ режимі сақталып, Құлсары қаласында 2810 үй су астында қалған, 29 м"
1,Summary,AI-Generated,Human,"Азық-түлікті сақтау - өнімнің мерзімін ұзарту, қоректік құндылығы мен қауіпсіздігін сақтау үшін маңызды. Қазіргі заманда бұл сала жаңа технологиялармен қарқынды дамуда. Инновациялар қатарына белсенді/"
1,Conversion,AI-Generated,Human,Қоғамдық кеңестер мемлекеттік органдар мен азаматтық қоғам арасындағы тиімді коммуникацияны қамтамасыз ететін маңызды институт болып табылады. Олар мемлекеттік органдардың қызметіне қоғамдық бақылауды
1,Summary,AI-Generated,Human,"Адамзаттың қарқынды дамуы мен өндірістік әрекеттері жергілікті флора мен фаунаға айтарлықтай әсер етеді. Орманды кесу, қалалардың кеңеюі, ауыл шаруашылығы жерлерін игеру, өнеркәсіптік қалдықтар, пести"
0,Conversion,Human,AI-Generated,"Вербалды коммуникация тілдік құралдарды қолдану арқылы ақпарат алмасуды қамтамасыз етсе, вербалды емес коммуникация сөзсіз белгілер арқылы (мимика, ым-ишара, дене қалпы) қарым-қатынас орнатады. Іскерл"
1,Conversion,AI-Generated,Human,"Гендерлік зерттеулер - қоғамдағы ерлер мен әйелдердің әлеуметтік рөлдерін, олардың арасындағы айырмашылықтар мен ортақ белгілерді кешенді түрде зерттеуге бағытталған ғылыми бағыт. Бұл зерттеулер генде"
1,Conversion,AI-Generated,Human,"Қонақжайлылық секторындағы энергия тиімділігі қонақтардың жайлылығын қамтамасыз ете отырып, электр энергиясы мен жылу энергиясын тұтынуды оңтайландыруды білдіреді. Бұл энергия үнемдейтін жарықтандыру "
1,Conversion,AI-Generated,AI-Obfuscated,Заттар интернеті (IoT) тұжырымдамасы тоңазытқыштардан бастап тіс щеткаларына дейінгі әртүрлі құрылғылардың интернетке қосылуын және өзара ақпарат алмасуын білдіреді. Бұл технология тұтынушылардың өмір
1,Summary,AI-Generated,Human,"Эмоционалдық көрініс әмбебап болғанымен, оның мәдениеттер арасында айтарлықтай айырмашылықтары бар. Әр мәдениеттің эмоцияларды білдіруге қатысты өзіндік ""көрсету ережелері"" болады. Шығыс мәдениеттерін"
1,Conversion,AI-Generated,Human,"Қазіргі таңда қонақжайлылық индустриясы цифрлық трансформацияны бастан кешіруде, бұл онлайн брондау жүйелерін, мобильді кілттерді және автоматтандырылған шешімдерді (мысалы, роботтарды) енгізуде көрін"
1,Conversion,AI-Generated,Human,"Корпоративтік тіл - бұл ұйым ішіндегі коммуникацияның ресми стилі, ол барлық ішкі және сыртқы хат алмасулар мен ауызша қарым-қатынастарға әсер етеді. Іскерлік қарым-қатынас мәдениеті әріптестермен, кл"
1,Conversion,AI-Generated,Human,Адамдар арасындағы конструктивті қарым-қатынастарды орнату және қолдау - жеке және кәсіби өмірдегі маңызды факторлардың бірі болып табылады. Өзара түсіністік пен эмпатияға негізделген қарым-қатынастар
0,Conversion,Human,AI-Generated,"Құрметті әріптестер, бүгінгі презентациямыздың мақсаты - жүргізілген зерттеудің негізгі нәтижелерін ұсыну және олардың практикалық маңыздылығын талқылау. Сіздердің назарларыңызды зерттеудің әдіснамасы"
1,Summary,AI-Generated,Human,"Қалалардағы жасыл кеңістіктер (саябақтар, гүлзарлар) тұрғындардың өмір сапасын айтарлықтай арттырады. Олар ауаны тазартып, жылуды азайтады, биологиялық әртүрлілікті сақтайды. Сонымен қатар, физикалық "
